431,Racing
432,Playing 'chicken'
433,Wheel spins / wheelies / doughnuts / drifting etc
434,Intimidating driving
430,Other intentional actions
511,Homicide/suicide (successful)
512,Intentional collision
514,Evading enforcement
515,Object thrown (at/by/from)
518,Over the speed limit
510,Other intentional or criminal
701,Not keeping to footpath.
702,Not keeping to side of road
703,Not facing oncoming traffic
704,Not on outside of blind curve
705,Wheeled pedestrian behaviour
700,Other - pedestrian walking along the road
711,Walking heedless of traffic
712,Stepping out from behind vehicles.
713,Running heedless of traffic.
714,Failed to use pedestrian crossing when one within 20 metres.
715,Waiting on carriageway/confused by traffic
717,Stepping suddenly onto crossing
718,Not complying with traffic signals or school patrols.
719,Misjudged speed and/or distance of vehicle.
740,Looking the wrong way
710,Other - pedestrian crossing the road
721,"Pushing, working on or unloading vehicle."
722,Playing / unnecessarily on road.
723,Working on road
725,Vision obscured by umbrella or hood
726,Child escaped from supervision
727,Unsupervised child
729,Pedestrian from or to school bus
730,Pedestrian behind reversing /manoeuvring vehicle
731,Overseas pedestrian
732,"Pedestrian attention diverted by cigarette, cell phone, music player"
733,Pedestrian from or to scheduled service
533,Equestrian not keeping to verge
720,Other - pedestrian
601,Dazzling headlights
602,Headlights inadequate/ no headlights or failed suddenly
604,Brake lights or indicators faulty or not fitted
605,Tail lights inadequate or no tail lights
606,Reflectors inadequate or no reflectors
607,Lights or reflectors obscured
608,Confusing/dazzling lights
609,Lights or reflectors at fault or dirty
600,Other - lights or reflectors
611,Parking brake failed/defective
613,Service brake failed
614,Service brake defective
615,Jack-knifed - uneven braking
610,Other - brakes
621,Defective
622,Failed suddenly
620,Other - steering
631,Puncture or blowout
632,Worn tread on tyre
633,Incorrect tyre type
634,Mixed types (tread)/space savers
630,Other - tyres
641,Shattered windscreen
642,Vehicle windows/helmet visors/goggles/glasses/misted/dirty/ windscreen wipers
643,Rear vision mirror
640,Other - windscreen/mirror
651,Engine failure
652,Transmission failure /broken axil
653,Accelerator or throttle jammed
650,Other mechanical
661,"Body, chassis or frame (cycle/motorcycle) failure"
662,Suspension failure
665,Inadequate tow coupling
666,Inadequate or no safety chain
668,Wheel off
660,Other -chassis/gear
667,"Door/bonnet catch failed, defective or not shut"
670,Inconspicuous colour
671,Blind spot
664,Other body/doors
681,Load interferes with driver
682,Not well secured
683,Over-hanging
684,Load obscured vision
686,Over-dimensional vehicle or load
687,Load too heavy
688,Towed vehicle or trailer too heavy or incompatible
680,Other - load
691,Emergency vehicle
692,Vehicle caught fire
693,Being towed
697,Software failure
690,Other - vehicle
804,Loose material on seal
807,Painted markings
808,Recently graded
809,Surface bleeding/defective
813,Deep loose metal
828,Steel/iron covers and joints
801,Rain
802,Frost or ice
803,Snow or hail
805,Mud/effluent
806,Oil/fuel
800,Other - slippery
811,Potholed
812,Uneven
814,High crown
815,Curve not well banked
816,Edge badly defined or gave way
817,Under construction or maintenance
818,Unusually narrow
810,Other - surface condition
821,Fallen tree or branch
822,Slip or subsidence
823,"Flood waters, large puddles and fords."
824,Road works not adequately lit/sign posted
826,Roadside object fell on vehicle
827,Object flicked by other vehicle
820,Other - road obstructed
831,Curve
832,Crest
837,Bank
849,Traffic signs
833,Building
834,Trees
835,Hedge or fence
836,"Scrub, long grass or foliage"
838,"Temporary obstruction, dust or smoke"
839,Parked vehicle
829,Signs/billboards/hoardings
830,Other - road feature limit visibility
841,Damaged removed or malfunction
842,Badly located
843,Ineffective / inadequate/obscured
844,Necessary
845,Signals off
840,Other - signs or signals
851,Faded
852,Difficult to see due to weather or geometry
853,Markings necessary
872,"Traffic island(s) ineffective, badly located or designed."
884,Barriers necessary
885,Island necessary
850,Other - markings/islands/barriers
861,Failed
862,Inadequate for road and pedestrian crossing
860,Other - street lighting factors
901,Heavy rain
902,Dazzling sun
903,Strong wind
904,Fog or mist
905,"Snow, sleet or hail"
900,Other - weather
910,Other - animal factors
911,Household pets rushed out or playing.
912,Farm animals straying
913,"Farm animals attended, but inadequate warning or unexpected."
914,"Farm animals attended, but out of control."
915,Wild animal
999,Unknown
920,other entering or leaving land use
921,roadside stall
922,service station
923,specialised liquor outlet
924,take-away food outlet
925,shopping complex
926,car parking building/area
927,other commercial activity
928,industrial site
929,private house or farm
930,non-commercial activities
931,mobile shop or vendor
305,"when turning left, to opposing right turning traffic (old road rule)"
517,Stolen vehicle

358,"Cigarette, radio, glove box, heater, AC, obj under driver feet/pedals etc"
